date,total_assets,daily_return,cumulative_return,drawdown
20260402,100000.0,0.0,0.0,0.0
20260403,100817.0,0.817,0.817,0.0
20260407,100720.0,-0.0962,0.72,-0.0962
20260408,101564.0,0.838,1.564,0.0
20260409,105588.0,3.962,5.588,0.0
20260410,104117.0,-1.3932,4.117,-1.3932
20260413,101860.0,-2.1678,1.86,-3.5307
20260414,102018.0,0.1551,2.018,-3.3811
20260415,99708.0,-2.2643,-0.292,-5.5688
20260416,101453.0,1.7501,1.453,-3.9162
20260417,107433.0,5.8944,7.433,0.0
20260420,108204.0,0.7177,8.204,0.0
20260421,110594.0,2.2088,10.594,0.0
20260422,115371.0,4.3194,15.371,0.0
20260423,113319.0,-1.7786,13.319,-1.7786
20260424,112593.0,-0.6407,12.593,-2.4079
20260427,113378.0,0.6972,13.378,-1.7275
20260428,111335.0,-1.8019,11.335,-3.4983
20260429,112602.0,1.138,12.602,-2.4001
20260430,114182.0,1.4032,14.182,-1.0306
20260506,116623.0,2.1378,16.623,0.0
20260507,118227.0,1.3754,18.227,0.0
20260508,119849.0,1.3719,19.849,0.0
20260511,124507.0,3.8866,24.507,0.0
20260512,121947.0,-2.0561,21.947,-2.0561
20260513,122833.0,0.7265,22.833,-1.3445
20260514,120680.0,-1.7528,20.68,-3.0737
20260515,116762.0,-3.2466,16.762,-6.2205
20260518,120388.0,3.1055,20.388,-3.3082
20260519,124120.0,3.1,24.12,-0.3108
20260520,124472.0,0.2836,24.472,-0.0281
20260521,120784.0,-2.9629,20.784,-2.9902
20260522,126356.0,4.6132,26.356,0.0
20260525,131658.0,4.1961,31.658,0.0
20260526,134927.0,2.4829,34.927,0.0
20260527,133714.0,-0.899,33.714,-0.899
20260528,136322.0,1.9504,36.322,0.0
20260529,136162.0,-0.1174,36.162,-0.1174
20260601,132213.0,-2.9002,32.213,-3.0142
20260602,134886.0,2.0217,34.886,-1.0534
20260603,141286.0,4.7447,41.286,0.0
20260604,141341.0,0.0389,41.341,0.0
20260605,134891.0,-4.5634,34.891,-4.5634
20260608,128191.0,-4.967,28.191,-9.3037
20260609,138763.0,8.2471,38.763,-1.824
20260610,137775.0,-0.712,37.775,-2.523
20260611,135377.0,-1.7405,35.377,-4.2196
20260612,130076.0,-3.9157,30.076,-7.9701
20260615,134992.0,3.7793,34.992,-4.492
20260616,139021.0,2.9846,39.021,-1.6414
20260617,138520.0,-0.3604,38.52,-1.9959
20260618,140167.0,1.189,40.167,-0.8306
20260622,144967.0,3.4245,44.967,0.0
