code,name,price,pct_chg,amount,high,low,open,time
300398,飞凯材料,59.64,5.259,3960803368.0,59.99,55.62,56.61,13:02:18
300346,南大光电,78.0,4.39,6407375309.0,81.0,74.01,74.63,13:02:21
300567,精测电子,270.03,2.673,2790283899.0,285.0,263.0,269.81,13:02:21
000021,深科技,53.86,1.241,9099425831.0,57.63,52.22,53.0,13:02:12
001309,德明利,892.0,0.112,12028287246.0,927.21,872.31,881.1,13:02:15
688525,佰维存储,468.2,-2.519,13149180691.0,490.0,465.2,465.38,13:02:17
300223,北京君正,230.59,-2.852,9506313431.0,242.0,229.0,240.0,13:02:12
301308,江波龙,655.78,-3.177,9791914350.0,685.99,655.3,656.0,13:02:21
603986,兆易创新,733.8,-5.342,25373630741.0,779.0,732.52,753.0,13:02:16
600105,永鼎股份,65.67,-9.992,7526676160.0,73.9,65.66,72.81,13:02:12
600522,中天科技,61.29,-10.0,20829706644.0,66.48,61.29,65.66,13:02:06
688313,仕佳光子,178.36,-10.793,4610441178.0,194.0,173.5,193.5,13:02:14
