metric,value,unit,description
累计收益率,0.0,%,Paper Trading 最新累计收益率
最大回撤,0.0,%,资金曲线最大回撤绝对值
收益回撤比,0.0,倍,累计收益率 / 最大回撤
胜率,0.0,%,已卖出交易中盈利占比
盈亏比,0.0,倍,总盈利 / 总亏损
平均盈利,0.0,元,盈利交易平均 PnL
平均亏损,0.0,元,亏损交易平均 PnL
最大单日亏损,0.0,%,资金曲线 daily_return 最小值
最大连续亏损次数,0,次,已完成交易连续亏损
最大连续空仓天数,1,天,market_value 为 0 的最长连续天数
空仓正确率,0.0,%,不交易日中推荐池未强于指数或指数下跌的比例
开仓正确率,0.0,%,允许交易日推荐池为正且跑赢指数的比例
推荐股票平均收益,0.0,%,Forward Validation 已评估推荐收益均值
推荐股票相对指数超额收益,0.0,%,Forward Validation 已评估超额收益均值
Paper Trading 是否跑赢指数,False,,Paper累计收益率是否大于验证期指数收益合计
冻结天数,1,天,frozen_decisions/orders_*.json 数量
冻结订单数,100,条,冻结 JSON 中订单总数
BUY订单数,0,条,冻结订单 BUY 数量
SELL订单数,0,条,冻结订单 SELL 数量
SKIP订单数,100,条,冻结订单 SKIP 数量
